Unnamed: 0,Countries,ISO3,Region,SIDS,LDCs,# RP,# FA,RP Financing $,FA Financing $,Adaptation,Mitigation,Crosscutting,AdaptationMitigationRatio,Ambition Category,Ambition,CO2BIP,1990,2010,2019,2025 upper,2025 lower,2030 upper,2030 lower,GRadUn,GradCon,Total Change 2019-2030 Upper (%),Total Change 2019-2030 Lower (%),AvgChange%
100,Tajikistan,TJK,Asia-Pacific,False,False,5,8,5052267.0,145969586.0,73773586.0,0.0,109962393.1623932,1.0,Keine höhere Ambition,0.0,0.17738885,18.3,11.0,15.5,21.2,18.0,27.2,20.1,3.4,2.5,75.48,29.68,52.58
101,United Republic of Tanzania,TZA,Africa,False,True,4,9,4334250.0,291194591.74,258352413.0985714,11428571.42857143,22732198.14241486,0.9576375946266088,Erhöhte Ambition,1.0,0.089475475,43.7,73.4,92.9,121.9,109.7,146.0,123.7,1.2,1.2,57.16,33.15,45.16
102,Thailand,THA,Asia-Pacific,False,False,11,2,7469000.0,57298444.79,17533500.0,0.0,39764944.79,1.0,Erhöhte Ambition,1.0,0.24247201,219.6,382.2,410.0,431.7,416.4,449.8,421.7,3.8,2.9,9.71,2.85,6.28
103,Togo,TGO,Africa,False,True,10,10,6278288.39,116900901.21,38342526.31578948,16349591.6546131,61058360.82908153,0.7010612815641751,Erhöhte Ambition,1.0,0.18802749,6.4,10.5,13.0,14.1,9.0,15.2,5.8,1.2,1.2,16.92,-55.38,-19.23
104,Trinidad and Tobago,TTO,Latin America and the Caribbean,True,False,13,3,7100554.99,34814854.28,16666666.66666667,0.0,19934493.5,1.0,Keine Überarbeitung im Vergleich zur vorherigen Version,,0.9678121,24.1,82.9,70.6,75.0,75.0,78.8,78.8,5.1,5.1,11.61,11.61,11.61
105,Tunisia,TUN,Africa,False,False,8,10,4825957.0,239715078.73,0.0,74619824.56140351,107810101.010404,0.0,Erhöhte Ambition,1.0,0.24677964,22.4,42.1,39.8,52.4,38.8,63.4,38.0,2.7,1.8,59.3,-4.52,27.39
106,Turkmenistan,TKM,Asia-Pacific,False,False,3,0,3046858.0,,,,,,Erhöhte Ambition,1.0,0.65797406,83.4,98.9,141.6,139.0,130.4,137.0,121.2,5.1,5.1,-3.25,-14.41,-8.83
107,Uganda,UGA,Africa,False,True,3,15,4638344.0,116650744.96,60860220.0952381,26814745.19632414,33899961.3003096,0.6941573332005098,Erhöhte Ambition,1.0,0.055276323,18.4,39.7,50.0,71.2,70.6,97.6,80.2,1.2,1.2,95.2,60.4,77.8
108,Uruguay,URY,Latin America and the Caribbean,False,False,17,4,7863888.89,69550975.77,0.0,29550754.76190476,22222222.22222222,0.0,Erhöhte Ambition,1.0,0.11322244,29.2,37.8,42.8,42.2,39.4,41.7,36.6,5.1,5.1,-2.57,-14.49,-8.53
109,Uzbekistan,UZB,Asia-Pacific,False,False,2,7,2225319.0,159726600.74,19499455.0,76861428.57142857,61158901.09890109,0.2023586156258708,Erhöhte Ambition,1.0,0.31770214,212.3,232.5,234.4,307.8,307.8,372.6,372.6,5.1,5.1,58.96,58.96,58.96
110,Venezuela (Bolivarian Republic of),VEN,Latin America and the Caribbean,False,False,2,0,3556404.0,,,,,,Keine höhere Ambition,0.0,0.5846699,186.6,270.6,188.3,212.8,212.8,233.4,233.4,5.1,5.1,23.95,23.95,23.95
111,Viet Nam,VNM,Asia-Pacific,False,False,5,6,4688659.0,210572567.0,38855367.0,121300000.0,50417200.0,0.2426104583807048,Erhöhte Ambition,1.0,0.35695907,104.2,274.5,426.8,481.5,481.5,543.5,543.5,5.1,5.1,27.34,27.34,27.34
112,Yemen,YEM,Asia-Pacific,False,True,5,0,3486360.0,,,,,,Kein Vorheriges Dokument verfügbar,,0.16919696,17.8,41.7,33.9,39.9,38.2,45.3,39.4,1.2,1.2,33.63,16.22,24.93
113,Zambia,ZMB,Africa,False,True,9,10,4538878.79,149557132.76,56158919.7443609,61096491.22807018,34331691.91919192,0.4789452297221908,Keine höhere Ambition,0.0,0.10985578,20.0,23.7,30.0,44.2,41.1,62.3,50.3,1.2,1.2,107.67,67.67,87.67
114,Zimbabwe,ZWE,Africa,False,False,6,2,4164077.0,35432883.0,35432883.0,0.0,0.0,1.0,Erhöhte Ambition,1.0,0.40248266,30.4,22.1,23.8,28.1,28.1,35.3,35.3,,,48.32,48.32,48.32
